"COUNTRY_KEY","COUNTRY_NAME","LATITUDE","LONGITUDE","AREA","CAPITAL","GDP","INFLATION","UNEMPLOYMENT","EXPORTS","IMPORTS","POPULATION","GROWTH_RATE","BIRTH_RATE","DEATH_RATE","LIFE_MALE","LIFE_FEMALE","AREA_LAND","POPULATION_DEN","LITERACY"
"AF","Afghanistan",33.00,63.00,647500,"Kabul",,,,0.24,0.73,16903400,2.45,43.46,18.94,45.53,44.21,647500,26.10,29
"AL","Albania",41.45,20.00,28750,"Tirane",3.30,31.00,18.00,0.70,0.52,3374085,1.19,22.46,5.32,70.42,76.61,27400,123.10,72
"AG","Algeria",28.45,1.00,2381740,"Algiers",89.00,22.00,22.00,11.40,9.00,27895068,2.29,29.71,6.22,66.63,68.77,2381740,11.70,57
"AN","Andorra",42.29,2.00,450,"Andorra la Vella",0.76,,0.00,0.30,,63930,2.99,13.34,7.12,75.50,81.50,450,142.10,
"AO","Angola",-14.15,16.00,1246700,"Luanda",5.70,1840.00,15.00,3.00,1.60,9803576,2.67,45.43,18.55,43.72,47.92,1246700,7.90,42
"AC","Antigua \N and Barbuda",17.15,-61.15,440,"Saint Johns",0.36,7.00,5.00,0.54,0.26,64762,0.59,17.31,5.44,71.07,75.26,440,147.20,89
"AR","Argentina",-35.29,-67.00,2766890,"Buenos Aires",185.00,7.40,10.00,12.70,16.00,33912994,1.12,19.62,8.63,68.06,74.81,2736690,12.40,95
"AM","Armenia",40.59,44.91,29800,"Yerevan",7.10,168.00,6.50,0.31,0.87,3521517,1.08,24.21,6.72,68.65,75.65,28400,124.00,100
"AS","Australia",-25.00,135.00,7686850,"Canberra",339.70,1.10,10.00,44.10,43.60,18077419,1.38,14.29,7.38,74.45,80.84,7617930,2.40,100
"AU","Austria",47.15,11.53,83850,"Vienna",134.40,3.70,7.00,39.90,48.50,7954974,0.45,11.38,10.34,73.44,80.03,82730,96.20,99
"AJ","Azerbaijan",40.46,47.86,86600,"Baku (Baky)",15.50,2400.00,0.70,0.35,0.24,7684456,1.41,23.04,6.58,67.08,74.80,86100,89.30,100
"BF","Bahamas",26.29,-77.40,13940,"Nassau",4.40,6.50,5.70,0.31,1.20,273055,1.57,18.86,5.38,67.66,75.49,10070,27.10,90
"BG","Bangladesh",24.15,90.00,144000,"Dhaka",122.00,1.40,,2.10,3.50,125149469,2.33,35.02,11.68,55.35,54.80,133910,934.60,35
"BO","Belorussia",53.54,27.75,207600,"Minsk",61.00,360.00,1.40,0.71,0.74,10404862,0.32,13.12,11.16,66.20,75.79,207600,50.10,100
"BE","Belgium",50.59,4.40,30510,"Brussels",177.50,2.80,13.50,117.00,120.00,10062836,0.20,11.71,10.26,73.67,80.44,30230,332.90,99
"BH","Belize",17.00,-88.40,22960,"Belmopan",0.55,5.50,15.00,0.11,0.27,208949,2.42,34.74,6.00,66.14,70.12,22800,9.20,91
"BN","Benin",8.00,2.00,112620,"Porto-Novo",6.20,3.40,,0.32,0.48,5341710,3.33,47.67,14.36,49.92,53.68,110620,48.30,23
"BD","Bermuda",32.20,-65.44,50,"Hamilton",1.63,4.40,6.00,0.60,0.46,61158,0.77,15.14,7.30,73.36,76.97,50,1223.20,98
"BT","Bhutan",27.15,90.30,47000,"Thimphu",0.50,11.00,,0.66,0.12,716380,2.34,39.31,15.93,51.15,50.03,47000,15.20,
"BL","Bolivia",-17.00,-64.00,1098580,"La Paz",15.80,9.30,5.80,0.75,1.17,7719445,2.28,32.22,8.37,60.86,65.88,1084390,7.10,78
"BK","Bosnia Herzegovina",44.17,17.53,51233,"Sarajevo",,,,,,4651485,0.69,13.33,6.39,72.43,78.02,51233,90.80,
"BC","Botswana",-22.10,23.12,600370,"Gaborone",6.00,14.00,25.00,1.70,1.80,1359352,2.45,32.19,7.72,60.03,66.16,585370,2.30,23
"BR","Brazil",-9.00,-53.00,8511965,"Brasilia",785.00,2709.00,4.90,38.80,25.70,158739257,1.28,21.48,8.63,57.41,67.32,8456510,18.80,81
"BX","Brunei",4.60,114.80,5770,"Bandar Seri Begawan",2.50,2.00,3.70,2.30,2.00,284653,2.70,26.18,5.04,69.46,72.78,5270,54.00,77
"BU","Bulgaria",42.11,24.12,110910,"Sofia",33.90,64.00,16.00,3.50,2.80,8799986,-0.32,11.71,11.38,69.99,76.67,110550,79.60,93
"UV","Burkina\n Faso",13.00,-2.00,274200,"Ouagadougou",7.00,-0.80,,0.30,0.68,10134661,2.81,48.42,18.20,46.18,47.90,273800,37.00,18
"BM","Myanmar (Burma)",21.00,95.15,678500,"Rangoon",41.00,30.00,,0.61,1.02,44277014,1.86,28.45,9.84,57.94,62.15,657740,67.30,81
"BY","Burundi",-3.00,29.29,27830,"Bujumbura",4.40,4.70,,0.40,0.18,6124747,2.26,44.02,21.38,38.31,42.35,25650,238.80,50
"CB","Cambodia",12.15,104.00,181040,"Phnom Penh",6.00,60.00,,0.70,0.36,10264628,2.87,45.09,16.36,47.80,50.80,176520,58.10,35
"CM","Cameroon",5.48,11.00,475440,"Yaounde",19.10,3.00,25.00,1.80,1.20,13132191,2.91,40.53,11.41,55.03,59.17,469440,28.00,55
"CA","Canada",55.00,-105.00,9976140,"Ottawa",617.70,1.90,11.00,133.90,125.30,28113997,1.18,14.10,7.39,74.73,81.71,9220970,3.00,97
"CV","Cape Verde Islands",15.48,-26.02,4030,"Praia",0.41,8.70,25.00,0.60,0.14,423120,3.01,46.23,9.04,60.70,64.58,4030,105.00,66
"CT","Central African Republic",7.50,21.00,622980,"Bangui",2.50,-3.00,30.00,0.12,0.16,3142182,2.16,42.30,20.69,41.07,44.06,622980,5.00,27
"CD","Chad",17.48,19.00,1284000,"NDjamena",2.70,2.50,,0.19,0.29,5466771,2.15,42.12,20.59,39.70,41.94,1259200,4.30,30
"CI","Chile",-35.00,-72.00,756950,"Santiago",96.00,12.30,5.10,10.00,9.20,13950557,1.51,20.59,5.49,71.52,77.65,748800,18.60,93
"CH","China",36.45,93.00,9596960,"Beijing",2610.00,17.60,2.30,92.00,104.00,1190431106,1.08,18.10,7.35,66.93,68.99,9326410,127.60,78
"CO","Colombia",3.30,-72.30,1138910,"Bogota",192.00,22.60,7.90,6.90,6.70,35577556,1.77,22.64,4.75,69.33,74.95,1038700,34.30,87
"CF","Congo",-1.00,15.20,342000,"Brazzaville",7.00,-0.60,,1.10,0.70,2446902,2.38,40.27,16.49,45.76,49.41,341500,7.20,57
"CS","Costa Rica",10.30,-84.30,51100,"San Jose",19.30,9.00,4.00,1.90,2.90,3342154,2.31,25.48,3.52,75.88,79.81,50660,66.00,93
"IV","Cote dIvoire",7.43,-6.30,322460,"Yamoussoukro",21.00,1.00,14.00,2.80,1.60,14295501,3.44,46.52,15.01,46.75,51.16,318000,45.00,54
"HR","Croatia",45.70,16.50,56538,"Zagreb",21.80,312.00,21.00,3.90,4.70,4697614,0.07,11.27,10.54,70.14,77.26,56410,83.30,
"CU","Cuba",22.00,-79.00,110860,"Havana",13.70,,,1.50,1.70,11064344,0.95,16.59,6.52,74.72,79.18,110860,99.80,94
"CY","Cyprus",34.79,32.90,9250,"Nicosia",6.70,6.50,1.80,1.10,3.30,730084,0.91,16.69,7.61,73.97,78.58,9240,79.00,94
"FA","Falkland Islands",-51.79,-59.40,12170,"Stanley",,7.40,,0.14,0.13,2261,2.43,,,,,12170,0.20,
"EZ","Czech Republic",49.76,15.20,78703,"Prague",75.00,19.00,3.30,12.60,12.40,10408280,0.21,13.23,11.14,69.38,76.99,78645,132.30,
"DA","Denmark",56.13,8.30,43070,"Copenhagen",95.60,1.80,11.80,36.70,29.70,5187821,0.23,12.45,11.28,72.93,78.86,42370,122.40,99
"DJ","Djibouti",11.60,42.29,22000,"Djibouti",0.50,6.00,30.00,0.15,0.33,412599,2.71,42.94,15.80,47.42,51.10,21980,18.80,48
"DO","Dominica",15.30,-60.45,750,"Roseau",0.18,5.20,15.00,0.54,0.97,87696,1.32,20.46,4.98,74.12,79.95,750,116.90,94
"DR","Dominican Republic",19.00,-70.44,48730,"Santo Domingo",23.00,8.00,30.00,0.76,2.20,7826075,1.80,24.87,6.20,66.22,70.60,48380,161.80,83
"EC","Ecuador",0.00,-78.30,283560,"Quito",41.80,31.00,8.00,3.00,2.50,10677067,2.01,25.82,5.67,67.46,72.62,276840,38.60,88
"EG","Egypt",26.58,27.01,1001450,"Cairo",139.00,11.00,20.00,3.50,10.50,60765028,1.95,28.69,8.87,58.91,62.76,995450,61.00,48
"ES","El Salvador",14.00,-89.30,21040,"San Salvador",14.20,12.00,6.70,0.73,1.90,5752511,2.04,32.81,6.36,64.41,69.71,20720,277.60,73
